Nivel,Serie,Mes,Real,Prediccion
NAVE,NAVE_007,2025-09,24107.27,41645.280000000006
NAVE,NAVE_008,2025-01,24716.59,6414.540000000001
NAVE,NAVE_008,2025-02,50384.95999999999,24716.59
NAVE,NAVE_008,2025-03,11080.149999999998,50384.95999999999
NAVE,NAVE_008,2025-04,16053.5,11080.149999999998
NAVE,NAVE_008,2025-05,18879.69,16053.5
NAVE,NAVE_008,2025-06,13242.929999999998,18879.69
NAVE,NAVE_008,2025-07,163832.9,13242.929999999998
NAVE,NAVE_008,2025-08,84087.61,163832.9
NAVE,NAVE_008,2025-09,18943.79,84087.61
NAVE,NAVE_010,2025-01,585.0,392.4
NAVE,NAVE_010,2025-02,630.4,585.0
NAVE,NAVE_010,2025-03,434.78,630.4
NAVE,NAVE_010,2025-04,9661.23,434.78
NAVE,NAVE_010,2025-05,2644.73,9661.23
NAVE,NAVE_010,2025-06,1553.88,2644.73
NAVE,NAVE_010,2025-07,2433.36,1553.88
NAVE,NAVE_010,2025-08,7001.050000000001,2433.36
NAVE,NAVE_010,2025-09,13222.0,7001.050000000001
NAVE,NAVE_010,2025-10,3857.21,13222.0
NAVE,NAVE_010,2025-11,4269.0,3857.21
NAVE,NAVE_010,2025-12,2984.34,4269.0
NAVE,NAVE_011,2025-01,11487.2,24265.893764262953
NAVE,NAVE_011,2025-02,8194.78,7719.644588492578
NAVE,NAVE_011,2025-03,4265.64,25943.88983422323
NAVE,NAVE_011,2025-04,7007.0,46877.926741656236
NAVE,NAVE_011,2025-05,15717.6,28986.225248033537
NAVE,NAVE_011,2025-06,2513.68,34625.61467724578
NAVE,NAVE_011,2025-07,4485.15,3707.9998214608677
NAVE,NAVE_011,2025-08,10501.729999999998,-5351.060706946257
NAVE,NAVE_011,2025-09,19409.11,2922.974322131173
NAVE,NAVE_013,2025-01,108.7,1804.16
NAVE,NAVE_013,2025-03,5025.0,108.7
NAVE,NAVE_013,2025-04,4761.83,5025.0
NAVE,NAVE_013,2025-05,1303.4499999999998,4761.83
NAVE,NAVE_013,2025-06,978.22,1303.4499999999998
NAVE,NAVE_013,2025-07,3616.25,978.22
NAVE,NAVE_013,2025-08,5389.75,3616.25
NAVE,NAVE_013,2025-09,1368.29,5389.75
NAVE,NAVE_013,2025-10,3200.0,1368.29
NAVE,NAVE_013,2025-11,10225.79,3200.0
NAVE,NAVE_013,2025-12,18520.07,10225.79
NAVE,NAVE_014,2025-01,2635.0,462.7
NAVE,NAVE_014,2025-02,1646.22,2635.0
NAVE,NAVE_014,2025-03,1468.0,1646.22
NAVE,NAVE_014,2025-04,862.77,1468.0
NAVE,NAVE_014,2025-05,2644.94,862.77
NAVE,NAVE_014,2025-06,10022.6,2644.94
NAVE,NAVE_014,2025-07,2397.7000000000003,10022.6
NAVE,NAVE_014,2025-08,937.77,2397.7000000000003
NAVE,NAVE_014,2025-09,14601.72,937.77
NAVE,NAVE_014,2025-10,1471.0400000000002,14601.72
NAVE,NAVE_014,2025-11,1800.8200000000002,1471.0400000000002
NAVE,NAVE_014,2025-12,1896.63,1800.8200000000002
NAVE_CATEGORIA,NAVE_001 | SERVICIOS DE MANTENIMIENTO,2025-01,9742.0,9797.76
NAVE_CATEGORIA,NAVE_001 | SERVICIOS DE MANTENIMIENTO,2025-02,12883.0,9742.0
NAVE_CATEGORIA,NAVE_001 | SERVICIOS DE MANTENIMIENTO,2025-03,36640.74,12883.0
NAVE_CATEGORIA,NAVE_001 | SERVICIOS DE MANTENIMIENTO,2025-04,38266.56,36640.74
NAVE_CATEGORIA,NAVE_001 | SERVICIOS DE MANTENIMIENTO,2025-05,45296.44,38266.56
