Nivel,Serie,Modelo,MetricaPrincipal,ValorMetricaPrincipal,MAE_USD,RMSE_USD,R2_complementario
NAVE_CATEGORIA,NAVE_001 | SERVICIOS DE MANTENIMIENTO,GradientBoosting,MAPE,2924.3423,51451.01,93295.79,-477.2928
NAVE_CATEGORIA,NAVE_001 | SERVICIOS DE MANTENIMIENTO,SuavizadoExponencial,MAPE,3208.4615,50840.59,71182.33,-277.4287
NAVE_CATEGORIA,NAVE_001 | SERVICIOS DE MANTENIMIENTO,Prophet,MAPE,4024.2943,115461.72,164464.6,-1485.3277
NAVE_CATEGORIA,NAVE_001 | SERVICIOS DE MANTENIMIENTO,Naive,MAPE,858.6834,30831.28,88414.58,-428.5537
NAVE_CATEGORIA,NAVE_002 | SERVICIOS DE MANTENIMIENTO,RandomForest,MAPE,5404.3811,172274.88,260680.57,-0.0914
NAVE_CATEGORIA,NAVE_002 | SERVICIOS DE MANTENIMIENTO,GradientBoosting,MAPE,7001.196,173657.61,262445.7,-0.1062
NAVE_CATEGORIA,NAVE_002 | SERVICIOS DE MANTENIMIENTO,SuavizadoExponencial,MAPE,2896.1076,226462.05,361469.89,-1.0985
NAVE_CATEGORIA,NAVE_002 | SERVICIOS DE MANTENIMIENTO,Prophet,MAPE,2246.6628,265135.23,388765.79,-1.4274
NAVE_CATEGORIA,NAVE_002 | SERVICIOS DE MANTENIMIENTO,Naive,MAPE,1563.3761,149128.09,222242.47,0.2067
NAVE_CATEGORIA,NAVE_004 | SERVICIOS DE MANTENIMIENTO,RandomForest,MAPE,1194.7656,41404.49,58338.02,-0.4858
NAVE_CATEGORIA,NAVE_004 | SERVICIOS DE MANTENIMIENTO,GradientBoosting,MAPE,1513.2479,41835.55,67819.11,-1.0079
NAVE_CATEGORIA,NAVE_004 | SERVICIOS DE MANTENIMIENTO,SuavizadoExponencial,MAPE,1390.2874,76244.97,105666.18,-3.8744
NAVE_CATEGORIA,NAVE_004 | SERVICIOS DE MANTENIMIENTO,Prophet,MAPE,3277.9449,114491.13,130981.64,-6.4898
NAVE_CATEGORIA,NAVE_004 | SERVICIOS DE MANTENIMIENTO,Naive,MAPE,343.3549,42233.56,76687.61,-1.5674
NAVE_CATEGORIA,NAVE_005 | SERVICIOS DE MANTENIMIENTO,RandomForest,MAPE,1925.8241,70808.18,104982.23,-0.7797
NAVE_CATEGORIA,NAVE_005 | SERVICIOS DE MANTENIMIENTO,GradientBoosting,MAPE,1703.3931,70455.07,117683.02,-1.2363
NAVE_CATEGORIA,NAVE_005 | SERVICIOS DE MANTENIMIENTO,SuavizadoExponencial,MAPE,2570.9405,58239.47,92827.95,-0.3914
NAVE_CATEGORIA,NAVE_005 | SERVICIOS DE MANTENIMIENTO,Prophet,MAPE,8724.7863,114794.86,167536.96,-3.5324
NAVE_CATEGORIA,NAVE_005 | SERVICIOS DE MANTENIMIENTO,Naive,MAPE,461.0309,53610.63,115532.07,-1.1553
NAVE_CATEGORIA,NAVE_007 | SERVICIOS DE MANTENIMIENTO,RandomForest,MAPE,612.8216,22182.62,26704.49,-12.6106
NAVE_CATEGORIA,NAVE_007 | SERVICIOS DE MANTENIMIENTO,GradientBoosting,MAPE,736.6565,26025.13,35243.5,-22.7064
NAVE_CATEGORIA,NAVE_007 | SERVICIOS DE MANTENIMIENTO,SuavizadoExponencial,MAPE,651.97,33628.09,48717.67,-44.2982
NAVE_CATEGORIA,NAVE_007 | SERVICIOS DE MANTENIMIENTO,Prophet,MAPE,771.8639,46574.71,65585.0,-81.095
NAVE_CATEGORIA,NAVE_007 | SERVICIOS DE MANTENIMIENTO,Naive,MAPE,194.9531,8087.31,9995.05,-0.9067
NAVE_CATEGORIA,NAVE_008 | SERVICIOS DE MANTENIMIENTO,RandomForest,MAPE,205.0497,15199.66,17895.48,-0.5021
NAVE_CATEGORIA,NAVE_008 | SERVICIOS DE MANTENIMIENTO,GradientBoosting,MAPE,246.4975,20194.01,25935.32,-2.155
NAVE_CATEGORIA,NAVE_008 | SERVICIOS DE MANTENIMIENTO,SuavizadoExponencial,MAPE,97.4125,14104.02,18121.01,-0.5402
NAVE_CATEGORIA,NAVE_008 | SERVICIOS DE MANTENIMIENTO,Prophet,MAPE,769.3894,60823.5,71472.04,-22.9602
NAVE_CATEGORIA,NAVE_008 | SERVICIOS DE MANTENIMIENTO,Naive,MAPE,123.688,13113.46,15972.92,-0.1967
NAVE_CATEGORIA,NAVE_010 | SERVICIOS DE MANTENIMIENTO,RandomForest,MAPE,700.3512,21976.17,31466.49,-0.3729
NAVE_CATEGORIA,NAVE_010 | SERVICIOS DE MANTENIMIENTO,GradientBoosting,MAPE,558.0224,21860.38,34151.38,-0.6171
NAVE_CATEGORIA,NAVE_010 | SERVICIOS DE MANTENIMIENTO,SuavizadoExponencial,MAPE,987.8772,31667.94,48693.7,-2.2876
NAVE_CATEGORIA,NAVE_010 | SERVICIOS DE MANTENIMIENTO,Prophet,MAPE,3766.5909,83225.14,153186.8,-31.5368
NAVE_CATEGORIA,NAVE_010 | SERVICIOS DE MANTENIMIENTO,Naive,MAPE,344.5589,21089.55,33029.19,-0.5126
NAVE_CATEGORIA,NAVE_011 | SERVICIOS DE MANTENIMIENTO,RandomForest,MAPE,3231.6049,17276.41,21398.84,0.0064
NAVE_CATEGORIA,NAVE_011 | SERVICIOS DE MANTENIMIENTO,GradientBoosting,MAPE,2935.7347,16456.39,20050.99,0.1276
NAVE_CATEGORIA,NAVE_011 | SERVICIOS DE MANTENIMIENTO,SuavizadoExponencial,MAPE,2666.7214,14252.82,18103.13,0.2889
NAVE_CATEGORIA,NAVE_011 | SERVICIOS DE MANTENIMIENTO,Prophet,MAPE,2208.5567,39347.75,44093.68,-3.2187
NAVE_CATEGORIA,NAVE_011 | SERVICIOS DE MANTENIMIENTO,Naive,MAPE,1574.5785,13528.7,17037.31,0.3702
NAVE_CATEGORIA,NAVE_013 | SERVICIOS DE MANTENIMIENTO,RandomForest,MAPE,565.8528,3393.53,6147.42,-2.1581
NAVE_CATEGORIA,NAVE_013 | SERVICIOS DE MANTENIMIENTO,GradientBoosting,MAPE,562.3278,3229.47,8136.42,-4.5323
NAVE_CATEGORIA,NAVE_013 | SERVICIOS DE MANTENIMIENTO,SuavizadoExponencial,MAPE,487.2852,3504.45,4092.28,-0.3995
NAVE_CATEGORIA,NAVE_013 | SERVICIOS DE MANTENIMIENTO,Prophet,MAPE,1392.7403,6301.79,11158.39,-9.4049
NAVE_CATEGORIA,NAVE_013 | SERVICIOS DE MANTENIMIENTO,Naive,MAPE,192.6932,2724.24,5185.1,-1.2467
NAVE_CATEGORIA,NAVE_014 | SERVICIOS DE MANTENIMIENTO,RandomForest,MAPE,5397.3838,4504.87,7335.57,-16.9822
NAVE_CATEGORIA,NAVE_014 | SERVICIOS DE MANTENIMIENTO,GradientBoosting,MAPE,6210.2879,4855.07,8750.51,-24.5884
NAVE_CATEGORIA,NAVE_014 | SERVICIOS DE MANTENIMIENTO,SuavizadoExponencial,MAPE,2023.5111,6241.08,10219.5,-33.9008
NAVE_CATEGORIA,NAVE_014 | SERVICIOS DE MANTENIMIENTO,Prophet,MAPE,3217.3122,13801.0,25411.29,-214.7889
NAVE_CATEGORIA,NAVE_014 | SERVICIOS DE MANTENIMIENTO,Naive,MAPE,504.67,2057.42,2493.63,-1.078
