Clasificacion,NumeroItems,CostoTotalUSD,ParticipacionPorcentual,UmbralADI,UmbralCV2
Intermitente,4104,18172032.25,93.24,1.32,0.49
Lumpy,446,1316968.5,6.76,1.32,0.49
