FechaCont,ItemCode,Quantity,PrecioUnitario,SubTotal,CostoCalculado,DiferenciaCosto,ErrorAbsolutoCosto,ErrorRelativoCosto,ClasificacionDiferenciaMonetaria
2024-03-06,301952,30.0,,22.08,,,,,No evaluable
2023-06-20,P001139,24.0,0.919167,22.06,22.060008,-8.000000001118224e-06,8.000000001118224e-06,3.626473255266647e-07,Coincidencia exacta
2025-07-01,301085,5.0,,22.05,,,,,No evaluable
2023-02-03,P007231,1.0,22.04,22.04,22.04,0.0,0.0,0.0,Coincidencia exacta
2023-06-26,P000397,2.0,11.011,22.022,22.022,0.0,0.0,0.0,Coincidencia exacta
2021-02-03,P001009,2.0,11.0,22.0,22.0,0.0,0.0,0.0,Coincidencia exacta
2021-05-14,P004107,1.0,22.0,22.0,22.0,0.0,0.0,0.0,Coincidencia exacta
2021-08-12,P001824,1.0,22.0,22.0,22.0,0.0,0.0,0.0,Coincidencia exacta
2022-01-03,P006359,1.0,22.0,22.0,22.0,0.0,0.0,0.0,Coincidencia exacta
2022-02-01,P002563,4.0,5.5,22.0,22.0,0.0,0.0,0.0,Coincidencia exacta
2022-02-18,P001302,4.0,5.5,22.0,22.0,0.0,0.0,0.0,Coincidencia exacta
2022-02-22,P002985,2.0,11.0,22.0,22.0,0.0,0.0,0.0,Coincidencia exacta
2022-03-09,P000948,1.0,22.0,22.0,22.0,0.0,0.0,0.0,Coincidencia exacta
2022-03-17,P000835,1.0,22.0,22.0,22.0,0.0,0.0,0.0,Coincidencia exacta
2022-04-01,P004107,1.0,22.0,22.0,22.0,0.0,0.0,0.0,Coincidencia exacta
2022-08-11,P002087,10.0,2.2,22.0,22.0,0.0,0.0,0.0,Coincidencia exacta
2022-09-06,P000047,4.0,5.5,22.0,22.0,0.0,0.0,0.0,Coincidencia exacta
2023-02-01,P005856,1.0,22.0,22.0,22.0,0.0,0.0,0.0,Coincidencia exacta
2023-02-01,P005857,1.0,22.0,22.0,22.0,0.0,0.0,0.0,Coincidencia exacta
2023-04-04,P000314,100.0,0.22,22.0,22.0,0.0,0.0,0.0,Coincidencia exacta
2023-05-08,P005859,10.0,2.2,22.0,22.0,0.0,0.0,0.0,Coincidencia exacta
2023-10-19,P002281,4.0,5.5,22.0,22.0,0.0,0.0,0.0,Coincidencia exacta
2023-11-06,P000604,4.0,5.5,22.0,22.0,0.0,0.0,0.0,Coincidencia exacta
2022-09-22,P001716,3.0,7.33,21.99,21.990000000000002,-3.552713678800501e-15,3.552713678800501e-15,1.6156042195545709e-16,Coincidencia exacta
2021-11-04,P000807,12.0,1.83,21.96,21.96,0.0,0.0,0.0,Coincidencia exacta
2023-09-06,P006306,1.0,21.945,21.95,21.945,0.004999999999999005,0.004999999999999005,0.00022779043280177701,Coincidencia exacta
2023-04-10,P007023,2.0,10.97,21.94,21.94,0.0,0.0,0.0,Coincidencia exacta
2024-10-08,300683,2.0,,21.93,,,,,No evaluable
2022-02-03,P006395,4.0,5.48,21.92,21.92,0.0,0.0,0.0,Coincidencia exacta
2023-11-10,P003820,1.0,21.89,21.89,21.89,0.0,0.0,0.0,Coincidencia exacta
2021-04-15,P001192,10.0,2.188,21.88,21.880000000000003,-3.552713678800501e-15,3.552713678800501e-15,1.6237265442415452e-16,Coincidencia exacta
2022-07-01,P000875,3.0,7.29,21.87,21.87,0.0,0.0,0.0,Coincidencia exacta
2024-06-21,301951,12.0,,21.87,,,,,No evaluable
2022-11-01,P000592,1.0,21.85,21.85,21.85,0.0,0.0,0.0,Coincidencia exacta
2023-01-03,P000592,1.0,21.85,21.85,21.85,0.0,0.0,0.0,Coincidencia exacta
2021-02-11,P000982,6.0,3.64,21.84,21.84,0.0,0.0,0.0,Coincidencia exacta
2025-05-01,303277,3.0,,21.83,,,,,No evaluable
2025-05-01,303277,3.0,,21.83,,,,,No evaluable
2022-02-03,P005551,4.0,5.45,21.8,21.8,0.0,0.0,0.0,Coincidencia exacta
2022-08-18,P002265,10.0,2.18,21.8,21.8,0.0,0.0,0.0,Coincidencia exacta
2025-06-01,306010,1.0,,21.8,,,,,No evaluable
2021-02-01,P005094,1.0,21.77,21.77,21.77,0.0,0.0,0.0,Coincidencia exacta
2025-04-01,P000806,14.0,,21.76,,,,,No evaluable
2025-06-01,PS00006,1.0,,21.76,,,,,No evaluable
2024-04-08,301145,10.0,,21.76,,,,,No evaluable
2022-09-22,P003836,100.0,0.2175,21.75,21.75,0.0,0.0,0.0,Coincidencia exacta
2022-01-21,PS00009,1.0,21.74,21.74,21.74,0.0,0.0,0.0,Coincidencia exacta
2023-11-17,P008318,20.0,1.087,21.74,21.74,0.0,0.0,0.0,Coincidencia exacta
2023-02-03,P001369,12.0,1.8095,21.714,21.714000000000002,-3.552713678800501e-15,3.552713678800501e-15,1.6361396697064111e-16,Coincidencia exacta
2023-06-19,P001369,12.0,1.809167,21.710004,21.710003999999998,3.552713678800501e-15,3.552713678800501e-15,1.6364408218443906e-16,Coincidencia exacta
2021-02-18,P000295,6.0,3.619,21.71,21.714000000000002,-0.004000000000001336,0.004000000000001336,0.0001842468908337787,Coincidencia exacta
2022-10-12,P001369,12.0,1.8095,21.71,21.714000000000002,-0.004000000000001336,0.004000000000001336,0.0001842468908337787,Coincidencia exacta
2021-02-11,P001192,24.0,0.904583,21.709992,21.709992,0.0,0.0,0.0,Coincidencia exacta
2021-02-11,P001193,24.0,0.904583,21.709992,21.709992,0.0,0.0,0.0,Coincidencia exacta
2025-09-01,305019,4.0,,21.7,,,,,No evaluable
2025-09-01,305020,4.0,,21.7,,,,,No evaluable
2023-10-04,P000438,1.0,21.68,21.68,21.68,0.0,0.0,0.0,Coincidencia exacta
